ID	lineage	domain	phylum	class	order	family	genus	species
A0A7U7G9C2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__CandidatusCompetibacteraceae;g__CandidatusContendobacter;s__CandidatusContendobacterodensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__CandidatusCompetibacteraceae	g__CandidatusContendobacter	s__CandidatusContendobacterodensis
A0A7U4DNS7	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbuspropionicus	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Desulfobulbus	s__Desulfobulbuspropionicus
A0A7U3YL71	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbuspropionicus	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__Desulfobulbus	s__Desulfobulbuspropionicus
A0A7T6Z7B2	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Salicibibacter;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Salicibibacter	s__
A0A7R7IYH8	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__
A0A7L7KQZ2	d__Bacteria;p__Mycoplasmatota;c__CandidatusIzimaplasma;o__CandidatusIzemoplasmatales;f__CandidatusIzemoplasmataceae;g__CandidatusXianfuyuplasma;s__	d__Bacteria	p__Mycoplasmatota	c__CandidatusIzimaplasma	o__CandidatusIzemoplasmatales	f__CandidatusIzemoplasmataceae	g__CandidatusXianfuyuplasma	s__
A0A7K3XFB4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Marinilabiliales;f__Prolixibacteraceae;g__Mariniphaga;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Marinilabiliales	f__Prolixibacteraceae	g__Mariniphaga	s__
A0A7J4QGX6	d__Archaea;p__CandidatusWoesearchaeota;c__;o__;f__;g__;s__	d__Archaea	p__CandidatusWoesearchaeota	c__	o__	f__	g__	s__
A0A7J4QE51	d__Archaea;p__Nanobdellota;c__;o__;f__;g__;s__	d__Archaea	p__Nanobdellota	c__	o__	f__	g__	s__
A0A7J4N8A4	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__;g__;s__	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__	g__	s__
A0A7J4K842	d__Archaea;p__CandidatusWoesearchaeota;c__;o__;f__;g__;s__	d__Archaea	p__CandidatusWoesearchaeota	c__	o__	f__	g__	s__
A0A7D5QKY7	d__Bacteria;p__CandidatusWoesebacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusWoesebacteria	c__	o__	f__	g__	s__
A0A7C7VNF7	d__Bacteria;p__Thermodesulfobacteriota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Thermodesulfobacteria	o__Thermodesulfobacteriales	f__Thermodesulfobacteriaceae	g__	s__
